DateTime,Entries,UniqueIPs
1500930029,1546,1569
1500943227,1586,1608
1500954028,1554,1578
1500966030,1558,1583
1500975630,1483,1507
1500989428,1470,1492
1501003827,1453,1475
1501018228,1432,1451
1501032626,1514,1534
1501045228,1538,1558
1501057230,1576,1596
1501068030,1486,1506
1501081230,1508,1529
1501092027,1546,1568
1501102828,1506,1527
1501117226,1591,1612
1501131627,1567,1588
1501144830,1475,1495
1501155629,1408,1427
1501167629,1374,1392
1501177828,1447,1466
1501189229,1510,1530
1501203627,1414,1439
1501218026,1409,1434
1501231828,1528,1554
1501243230,1440,1467
1501257629,1460,1488
1501268428,1427,1455
1501282226,1458,1484
1501295426,1390,1417
1501309826,1337,1361
1501324229,1351,1374
1501338628,1337,1357
1501353027,1362,1386
1501367427,1316,1340
1501378827,1349,1376
1501390826,1341,1365
1501405228,1342,1366
1501416029,1320,1344
1501428027,1365,1390
1501440028,1397,1421
1501454428,1410,1437
1501468827,1384,1410
1501482626,1421,1448
1501492229,1415,1440
1501506629,1407,1436
1501519228,1449,1477
1501530628,1523,1551
1501544425,1537,1563
1501555827,1484,1510
1501569025,1542,1569
1501583431,1545,1572
1501597829,1529,1555
1501612227,1510,1537
1501626627,1567,1596
1501636230,1514,1543
1501650027,1468,1495
1501664429,1458,1484
1501678828,1455,1482
1501692628,1437,1461
1501704029,1372,1396
1501718427,1414,1438
1501732825,1358,1383
1501747228,1313,1337
1501761628,1333,1357
1501775429,1302,1327
1501786227,1318,1346
1501797628,1309,1337
1501809027,1316,1344
1501822825,1285,1310
1501836628,1252,1276
1501851029,1313,1339
1501865427,1339,1363
1501879826,1333,1358
1501890625,1312,1339
1501903827,1261,1287
1501917629,1253,1279
1501932027,1238,1264
1501945826,1234,1258
1501957828,1209,1232
1501972227,1186,1209
1501986626,1224,1246
1502001026,1196,1217
1502014828,1208,1231
1502029228,1227,1249
1502040628,1269,1292
1502054427,1286,1313
1502066427,1248,1275
1502077826,1280,1308
1502091629,1437,1469
1502106029,1441,1473
1502119829,1451,1483
1502134228,1474,1504
1502148627,1485,1514
1502163027,1454,1483
1502173825,1505,1532
1502188228,1453,1479
1502202628,1417,1444
1502217027,1456,1483
1502228426,1461,1487
1502241027,1477,1503
1502252427,1413,1438
1502263829,1465,1492
1502273429,1570,1598
1502285429,1701,1732
1502295628,1693,1724
1502306428,1690,1718
1502316628,1721,1749
1502327427,1774,1804
1502339427,1872,1904
1502349029,1750,1780
1502360429,1814,1847
1502371228,1760,1792
1502385026,1837,1871
1502396428,1676,1711
1502406627,1675,1711
1502421025,1726,1761
1502433026,1745,1779
1502446230,1713,1747
1502458229,1646,1680
1502467828,1564,1598
1502480428,1682,1716
1502491827,1693,1731
1502505626,1675,1712
1502516426,1687,1722
1502530226,1687,1722
1502543428,1698,1734
1502553626,1700,1736
1502568028,1735,1771
1502578826,1621,1655
1502588427,1616,1650
1502599826,1686,1721
1502611828,1680,1717
1502625628,1648,1684
1502640028,1658,1694
1502650828,1602,1636
1502661028,1670,1704
1502671826,1668,1701
1502685626,1709,1740
1502697028,1687,1719
1502707228,1642,1674
1502718628,1646,1678
1502731826,1688,1723
1502742027,1696,1732
1502752826,1687,1722
1502766624,1717,1750
1502777426,1701,1736
1502790028,1704,1740
1502801427,1683,1717
1502814627,1658,1692
1502825425,1651,1685
1502838027,1690,1726
1502851827,1676,1713
1502865025,1757,1794
1502878828,1704,1739
1502889628,1671,1706
1502899828,1692,1728
1502911227,1804,1842
1502922028,1825,1863
1502935826,1883,1920
1502947226,1864,1902
1502957430,1842,1879
1502968829,1863,1899
1502979628,1867,1904
1502990428,1907,1944
1503001828,1916,1953
1503012027,1899,1936
1503022827,1865,1903
1503033026,1801,1840
1503045027,1880,1919
1503059426,1787,1825
1503073826,1767,1801
1503086427,1731,1765
1503097824,1683,1718
1503110427,1664,1699
1503124825,1554,1579
1503138627,1547,1570
1503150028,1698,1723
1503161427,1682,1708
1503171627,1673,1699
1503183027,2006,2034
1503195026,2039,2066
1503205226,2067,2096
1503216629,2122,2151
1503228028,2126,2156
1503238828,2121,2152
1503249627,2123,2152
1503261028,2221,2249
1503271827,2247,2276
1503283226,2222,2251
1503295227,2269,2298
1503300028,2253,2280
1503311430,2335,2363
1503322228,2356,2385
1503333028,2357,2388
1503343227,2375,2407
1503354027,2361,2392
1503365427,2432,2462
1503376229,2353,2385
1503387032,2373,2405
1503397229,2254,2286
1503408628,2314,2346
1503418828,2323,2355
1503429628,2406,2438
1503440428,2350,2381
1503450627,2337,2369
1503462027,2409,2443
1503473429,2397,2431
1503486028,2270,2304
1503496828,2237,2269
1503506428,2191,2222
1503517827,2159,2188
1503531625,2142,2170
1503546027,2060,2087
1503557426,2017,2043
1503567630,1973,1999
1503578429,1868,1892
1503589228,1817,1840
1503600028,1825,1851
1503614426,1813,1840
1503624027,1767,1795
1503634226,1745,1773
1503645029,1755,1783
1503655828,1749,1778
1503666628,1744,1773
1503677427,1793,1822
1503688828,1803,1832
1503702026,1849,1879
1503711626,1869,1899
1503723027,1850,1880
1503736829,1867,1897
1503748229,1883,1914
1503758429,1834,1865
1503772228,1840,1871
1503783026,1871,1902
1503796227,1871,1903
1503810627,2121,2154
1503825028,2266,2295
1503837028,2286,2314
1503848428,2331,2362
1503860429,2409,2442
1503870627,2420,2454
1503881427,2372,2408
1503892826,2518,2554
1503903629,2481,2515
1503914428,2430,2464
1503925228,2425,2463
1503935428,2401,2438
1503946227,2371,2407
1503957027,2496,2532
1503967826,2340,2374
1503978626,2283,2318
1503988826,2383,2420
1504000248,2280,2316
1504011028,2232,2267
1504021828,2179,2214
1504035628,2164,2199
1504047028,2204,2240
1504057227,2190,2224
1504069227,2228,2262
1504079430,2234,2267
1504090830,2228,2262
1504101029,2249,2285
1504111228,2211,2246
1504122628,2199,2232
1504137027,2226,2259
1504147827,2193,2227
1504159227,2153,2190
1504169428,2151,2186
1504179628,2117,2153
1504190428,2119,2152
1504201228,2151,2185
1504212631,2134,2166
1504222826,2146,2176
1504234226,2225,2256
1504245026,2209,2239
1504255828,2164,2196
1504266028,2053,2084
1504277428,2134,2167
1504287628,2034,2070
1504302027,2066,2102
1504313427,2133,2169
1504324826,2127,2162
1504336829,2119,2156
1504347628,2153,2191
1504358428,2162,2200
1504372226,2249,2286
1504386628,2310,2346
1504397426,2320,2355
1504409427,2307,2343
1504419626,2327,2361
1504431029,2315,2350
1504441829,2534,2568
1504454429,2582,2617
1504464628,2541,2577
1504475428,2589,2622
1504486229,2564,2599
1504497627,2549,2585
1504508429,2522,2557
1504519228,2479,2512
1504529428,2416,2449
1504540829,2375,2408
1504550428,2451,2484
1504561827,2494,2528
1504573227,2426,2460
1504584027,2411,2446
1504594226,2480,2515
1504605029,2507,2541
1504617029,2486,2520
1504631428,2461,2495
1504642229,2445,2478
1504656627,2496,2527
1504668626,2498,2527
1504679427,2467,2497
1504690230,2445,2478
1504701029,2427,2460
1504711229,2390,2421
1504721428,2396,2428
1504733427,2383,2414
1504747827,2417,2447
1504758627,2415,2447
1504770029,2380,2414
1504779631,2382,2418
1504791628,2403,2439
1504806028,2468,2504
1504820426,2549,2587
1504831227,2396,2433
1504843227,2512,2549
1504854029,2492,2530
1504864229,2462,2499
1504876229,2429,2464
1504890629,2422,2458
1504904426,2396,2432
1504915825,2468,2503
1504927827,2424,2459
1504938027,2416,2451
1504948829,2439,2473
1504961429,2538,2576
1504974028,2507,2545
1504984827,2560,2599
1504995628,2569,2607
1505007027,2581,2618
1505017827,2602,2639
1505028629,2568,2605
1505039430,2559,2593
1505052629,2638,2673
1505064028,2605,2638
1505077828,2627,2662
1505087426,2687,2721
1505098827,2653,2686
1505109627,2618,2650
1505120430,2629,2660
1505130629,2578,2609
1505143829,2595,2628
1505154028,2631,2664
1505164829,2674,2708
1505175627,2674,2707
1505187627,2726,2761
1505199630,2694,2727
1505209229,2689,2721
1505221829,2653,2686
1505234429,2633,2666
1505245829,2604,2637
1505256028,2625,2660
1505267427,2555,2590
1505279427,2498,2534
1505291430,2556,2591
1505302229,2464,2501
1505315428,2454,2491
1505328627,2512,2550
1505339428,2474,2508
1505353827,2580,2615
1505366427,2405,2437
1505377829,2361,2393
1505388029,2481,2513
1505399429,2330,2358
1505409028,2371,2400
1505420428,2488,2517
1505430627,2455,2487
1505442626,2426,2458
1505453426,2487,2521
1505463629,2445,2478
1505476229,2564,2600
1505487629,2535,2567
1505497829,2483,2515
1505508628,2535,2567
1505520027,2589,2620
1505531427,2543,2576
1505542827,2558,2591
1505553629,2511,2543
1505564429,2497,2528
1505575228,2523,2555
1505586028,2485,2521
1505596228,2491,2526
1505607026,2553,2591
1505618427,2540,2575
1505629826,2533,2567
1505640629,2569,2604
1505651429,2486,2520
1505661628,2483,2516
1505672428,2584,2621
1505683228,2614,2651
1505694027,2508,2545
1505704826,2515,2550
1505716226,2469,2503
1505726429,2514,2550
1505737229,2546,2587
1505749229,2537,2577
1505760628,2424,2461
1505771428,2513,2550
1505782228,2479,2511
1505793628,2456,2490
1505804429,2460,2491
1505815229,2407,2437
1505826628,2395,2423
1505841028,2398,2426
1505851827,2353,2380
1505862627,2379,2412
1505874627,2287,2320
1505884227,2198,2230
1505895030,2190,2222
1505907031,2143,2175
1505917830,2103,2133
1505927429,2157,2190
1505938228,2267,2300
1505949027,2230,2264
1505960427,2278,2313
1505971227,2275,2311
1505982029,2168,2202
1505996429,2189,2225
1506007228,2158,2191
1506019228,2236,2270
1506030028,2265,2298
1506040827,2212,2244
1506052226,2213,2245
1506063026,2177,2211
1506073228,2123,2154
1506084628,2153,2185
1506094828,2125,2155
1506109228,2170,2201
1506120028,2280,2312
1506131428,2260,2290
1506144627,2278,2308
1506154829,2270,2301
1506165629,2237,2269
1506176429,2269,2302
1506187828,2269,2301
1506199228,2252,2282
1506211227,2261,2293
1506222027,2086,2118
1506231626,2059,2090
1506242429,2057,2088
1506253829,2117,2147
1506264629,2128,2158
1506280228,2208,2239
1506289228,2221,2254
1506300028,2198,2232
1506311427,2265,2297
1506322227,2242,2274
1506333030,2244,2278
1506343829,2244,2278
1506354030,2175,2206
1506366628,2248,2280
1506378028,2297,2328
1506388827,2287,2318
1506400227,2297,2330
1506409830,2268,2300
1506420629,2236,2269
1506431428,2253,2286
1506445827,2259,2293
1506460226,2288,2325
1506471027,2302,2338
1506482426,2235,2268
1506493226,2264,2300
1506504029,2273,2312
1506517829,2244,2284
1506528628,2266,2304
1506543029,2276,2312
1506555026,2310,2344
1506565227,2338,2375
1506576627,2312,2348
1506587429,2302,2338
1506597629,2309,2345
1506608428,2281,2316
1506620426,2358,2393
1506631228,2362,2398
1506645627,2368,2404
1506657626,2347,2382
1506667227,2248,2284
1506681028,2246,2281
1506695429,2276,2311
1506709828,2170,2205
1506723028,2227,2265
1506733827,2171,2210
1506745827,2182,2220
1506755429,2185,2221
1506766828,2149,2185
1506777629,2229,2265
1506787828,2191,2226
1506800428,2155,2191
